Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Fair rewarding mechanism in music industry using smart contracts on public-permissionless blockchain","Multimedia Tools and Applications","","81","2","10.1007/s11042-021-11078-6","Malka N. HalgamugeDilmi Guruge","2022","http://link.springer.com/article/10.1007/s11042-021-11078-6","Article"
"A novel method using LSTM-RNN to generate smart contracts code templates for improved usability","Multimedia Tools and Applications","","","","10.1007/s11042-023-14592-x","Zhihao HaoBob ZhangDianhui MaoJerome YenZhihua ZhaoMin ZuoHaisheng LiCheng-Zhong Xu","2023","http://link.springer.com/article/10.1007/s11042-023-14592-x","Article"
"Using Automated Reasoning Techniques for Enhancing the Efficiency and Security of (Ethereum) Smart Contracts","Automated Reasoning","","","","10.1007/978-3-031-10769-6_1","Elvira AlbertPablo GordilloAlejandro Hernández-CerezoClara Rodríguez-NúñezAlbert Rubio","2022","http://link.springer.com/chapter/10.1007/978-3-031-10769-6_1","Chapter"
"On the use of generic types for smart contracts","Cluster Computing","","","","10.1007/s10586-022-03688-y","Fausto SpotoSara MiglioriniMauro GambiniAndrea Benini","2022","http://link.springer.com/article/10.1007/s10586-022-03688-y","Article"
"Smart Contracts in the Cloud","Silicon Valley Cybersecurity Conference","","","","10.1007/978-3-031-24049-2_5","Luis Angel D. BathenDivyesh Jadav","2022","http://link.springer.com/chapter/10.1007/978-3-031-24049-2_5","Chapter"
"Fast and Reliable Formal Verification of Smart Contracts with the Move Prover","Tools and Algorithms for the Construction and Analysis of Systems","","","","10.1007/978-3-030-99524-9_10","David DillWolfgang GrieskampJunkil ParkShaz QadeerMeng XuEmma Zhong","2022","http://link.springer.com/chapter/10.1007/978-3-030-99524-9_10","Chapter"
"Vertragsdurchführung mit Smart Contracts – rechtliche Rahmenbedingungen und Herausforderungen","Datenwirtschaft und Datentechnologie","","","","10.1007/978-3-662-65232-9_11","Dominik Groß","2022","http://link.springer.com/chapter/10.1007/978-3-662-65232-9_11","Chapter"
"SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts","Empirical Software Engineering","","27","7","10.1007/s10664-022-10218-2","Zhaoxuan LiSiqi LuRui ZhangRui XueWenqiu MaRujin LiangZiming ZhaoSheng Gao","2022","http://link.springer.com/article/10.1007/s10664-022-10218-2","Article"
"Design and development of an intelligent transportation management system using blockchain and smart contracts","Cluster Computing","","25","3","10.1007/s10586-022-03536-z","Debashis DasSourav BanerjeePuspita ChatterjeeManju BiswasUtpal BiswasWaleed Alnumay","2022","http://link.springer.com/article/10.1007/s10586-022-03536-z","Article"
"An SGX-based execution framework for smart contracts upon permissioned blockchain","Distributed and Parallel Databases","","","","10.1007/s10619-022-07409-7","Min FangZhao ZhangCheqing JinAoying Zhou","2022","http://link.springer.com/article/10.1007/s10619-022-07409-7","Article"
"A blockchain-based approach using smart contracts to develop a smart waste management system","International Journal of Environmental Science and Technology","","19","8","10.1007/s13762-021-03507-8","Y. Sen GuptaS. MukherjeeR. DuttaS. Bhattacharya","2022","http://link.springer.com/article/10.1007/s13762-021-03507-8","Article"
"Quantitative cooperation analysis among cross-chain smart contracts","Neural Computing and Applications","","34","12","10.1007/s00521-022-06970-7","Hong SuBing GuoJunyu LuXinhua Suo","2022","http://link.springer.com/article/10.1007/s00521-022-06970-7","Article"
"Smart Contracts for Decentralized Dynamic Spectrum Marketplaces","International Journal of Wireless Information Networks","","29","3","10.1007/s10776-022-00573-8","George C. Polyzos","2022","http://link.springer.com/article/10.1007/s10776-022-00573-8","Article"
"Helmholtz: A Verifier for Tezos Smart Contracts Based on Refinement Types","New Generation Computing","","40","2","10.1007/s00354-022-00167-1","Yuki NishidaHiromasa SaitoRan ChenAkira KawataJun FuruseKohei SuenagaAtsushi Igarashi","2022","http://link.springer.com/article/10.1007/s00354-022-00167-1","Article"
"OptSmart: a space efficient Optimistic concurrent execution of Smart contracts","Distributed and Parallel Databases","","","","10.1007/s10619-022-07412-y","Parwat Singh AnjanaSweta KumariSathya PeriSachin RathorArchit Somani","2022","http://link.springer.com/article/10.1007/s10619-022-07412-y","Article"
"A survey on automation approaches of smart contract generation","The Journal of Supercomputing","","","","10.1007/s11227-023-05262-8","Rawya MarsSaoussen CheikhrouhouSlim KallelAhmed Hadj Kacem","2023","http://link.springer.com/article/10.1007/s11227-023-05262-8","Article"
"Optimal policy computing for blockchain based smart contracts via federated learning","Operational Research","","22","5","10.1007/s12351-022-00723-z","Wanyang Dai","2022","http://link.springer.com/article/10.1007/s12351-022-00723-z","Article"
"A review of smart contract-based platforms, applications, and challenges","Cluster Computing","","26","1","10.1007/s10586-021-03491-1","Pratima SharmaRajni JindalMalaya Dutta Borah","2023","http://link.springer.com/article/10.1007/s10586-021-03491-1","Article"
"A survey of application research based on blockchain smart contract","Wireless Networks","","28","2","10.1007/s11276-021-02874-x","Shi-Yi LinLei ZhangJing LiLi-li JiYue Sun","2022","http://link.springer.com/article/10.1007/s11276-021-02874-x","Article"
"Calling relationship investigation and application on Ethereum Blockchain System","Empirical Software Engineering","","28","2","10.1007/s10664-022-10240-4","Zigui JiangXiuwen TangZibin ZhengJinyan GuoXiapu LuoYin Li","2023","http://link.springer.com/article/10.1007/s10664-022-10240-4","Article"
"A conceptual framework for blockchain smart contract adoption to manage real estate deals in smart cities","Neural Computing and Applications","","35","7","10.1007/s00521-021-05800-6","Fahim UllahFadi Al-Turjman","2023","http://link.springer.com/article/10.1007/s00521-021-05800-6","Article"
"A study of application platform for smart contract visualization based blockchain","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03879-1","SoonHyeong JeongByeongtae Ahn","2022","http://link.springer.com/article/10.1007/s11227-021-03879-1","Article"
"A Systematic Literature Review of Blockchain Technology for Smart Villages","Archives of Computational Methods in Engineering","","29","4","10.1007/s11831-021-09659-7","Parminder KaurAnshu Parashar","2022","http://link.springer.com/article/10.1007/s11831-021-09659-7","Article"
"A Novel Smart Contract Reentrancy Vulnerability Detection Model based on BiGAS","Journal of Signal Processing Systems","","","","10.1007/s11265-023-01859-7","Lejun ZhangYuan LiRan GuoGuopeng WangJing QiuShen SuYuan LiuGuangxia XuHuiling ChenZhihong Tian","2023","http://link.springer.com/article/10.1007/s11265-023-01859-7","Article"
"Smart Contract Vulnerability Detection Based on Symbolic Execution Technology","Cyber Security","","","","10.1007/978-981-16-9229-1_12","Yiping LiuJie XuBaojiang Cui","2022","http://link.springer.com/chapter/10.1007/978-981-16-9229-1_12","Chapter"
"A blockchain-based IoT data marketplace","Cluster Computing","","","","10.1007/s10586-022-03745-6","Michael SoberGiulia ScaffinoStefan SchulteSalil S. Kanhere","2022","http://link.springer.com/article/10.1007/s10586-022-03745-6","Article"
"Making drug supply chain secure traceable and efficient: a Blockchain and smart contract based implementation","Multimedia Tools and Applications","","","","10.1007/s11042-022-14238-4","Kailash Chandra BandhuRatnesh LitoriyaPradeep LowanshiManav JindalLokendra ChouhanSuresh Jain","2022","http://link.springer.com/article/10.1007/s11042-022-14238-4","Article"
"Advanced Digital Auditing","Progress in IS","","","","10.1007/978-3-031-11089-4","Egon BerghoutRob FijnemanLennard HendriksMona de BoerBert-Jan Butijn","2023","http://link.springer.com/book/10.1007/978-3-031-11089-4","Book"
"Blockchain-based system for tracking and rewarding recyclable plastic waste","Peer-to-Peer Networking and Applications","","16","1","10.1007/s12083-022-01413-5","Eiman AlnuaimiMariam AlsafiMaitha AlshehhiMazin DebeKhaled SalahIbrar YaqoobM. Jamal ZemerlyRaja Jayaraman","2023","http://link.springer.com/article/10.1007/s12083-022-01413-5","Article"
"Smart contract and IPFS-based trustworthy secure data storage and device authentication scheme in fog computing environment","Peer-to-Peer Networking and Applications","","16","1","10.1007/s12083-022-01376-7","Sanjeev Kumar DwivediRuhul AminSatyanarayana Vollala","2023","http://link.springer.com/article/10.1007/s12083-022-01376-7","Article"
"Role-Based Smart Contract: An Intelligent System for Scholarly Communication","SN Computer Science","","3","4","10.1007/s42979-022-01163-4","Eashwar SivakumarParas Chawla","2022","http://link.springer.com/article/10.1007/s42979-022-01163-4","Article"
"CrowdMed-II: a blockchain-based framework for efficient consent management in health data sharing","World Wide Web","","25","3","10.1007/s11280-021-00923-1","Chaochen HuChao LiGuigang ZhangZhiwei LeiMira ShahYong ZhangChunxiao XingJinpeng JiangRenyi Bao","2022","http://link.springer.com/article/10.1007/s11280-021-00923-1","Article"
"On the adoption of blockchain for business process monitoring","Software and Systems Modeling","","21","3","10.1007/s10270-021-00959-x","Claudio Di CiccioGiovanni MeroniPierluigi Plebani","2022","http://link.springer.com/article/10.1007/s10270-021-00959-x","Article"
"ISC-MTI: An IPFS and smart contract-based framework for machine learning model training and invocation","Multimedia Tools and Applications","","81","28","10.1007/s11042-022-13163-w","Hao LinXiaolei LiHaoyu GaoJie LiYongsheng Wang","2022","http://link.springer.com/article/10.1007/s11042-022-13163-w","Article"
"Tools and Algorithms for the Construction and Analysis of Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-99524-9","Dr. Dana FismanGrigore Rosu","2022","http://link.springer.com/book/10.1007/978-3-030-99524-9","Book"
"Cyber Security","Communications in Computer and Information Science","","","","10.1007/978-981-16-9229-1","Wei LuYuqing ZhangWeiping WenHanbing YanChao Li","2022","http://link.springer.com/book/10.1007/978-981-16-9229-1","Book"
"Highly private blockchain-based management system for digital COVID-19 certificates","International Journal of Information Security","","21","5","10.1007/s10207-022-00598-3","Rosa Pericàs-GornalsMacià Mut-PuigserverM. Magdalena Payeras-Capellà","2022","http://link.springer.com/article/10.1007/s10207-022-00598-3","Article"
"Designing Data Spaces","","","","","10.1007/978-3-030-93975-5","Prof. Dr. Boris OttoProf. Dr. Michael ten HompelProf. Dr. Stefan Wrobel","2022","http://link.springer.com/book/10.1007/978-3-030-93975-5","Book"
"Data Spaces","","","","","10.1007/978-3-030-98636-0","Edward CurrySimon ScerriTuomo Tuikka","2022","http://link.springer.com/book/10.1007/978-3-030-98636-0","Book"
"Silicon Valley Cybersecurity Conference","Communications in Computer and Information Science","","","","10.1007/978-3-031-24049-2","Luis BathenGokay SaldamliXiaoyan SunThomas H. AustinAlex J. Nelson","2022","http://link.springer.com/book/10.1007/978-3-031-24049-2","Book"
"Securing blockchain-based crowdfunding platforms: an integrated graph neural networks and machine learning approach","Electronic Commerce Research","","","","10.1007/s10660-023-09702-8","Karim ZkikAnass SebbarOumaima FadiSachin KambleAmine Belhadi","2023","http://link.springer.com/article/10.1007/s10660-023-09702-8","Article"
"The Future of Payments in a DLT-Based European Economy: A Roadmap","The Future of Financial Systems in the Digital Age","","","","10.1007/978-981-16-7830-1_6","Alexander BechtelAgata FerreiraJonas GrossPhilipp Sandner","2022","http://link.springer.com/chapter/10.1007/978-981-16-7830-1_6","Chapter"
"Trusted resource allocation based on proof-of-reputation consensus mechanism for edge computing","Peer-to-Peer Networking and Applications","","15","1","10.1007/s12083-021-01240-0","Qiaohong HuHongju ChengXiaoqi ZhangChengkuan Lin","2022","http://link.springer.com/article/10.1007/s12083-021-01240-0","Article"
"Fedidchain: An Innovative Blockchain-Enabled Framework for Cross-Border Interoperability and Trust Management in Identity Federation Systems","Journal of Network and Systems Management","","31","2","10.1007/s10922-023-09731-6","Samia El HaddoutiAbdellah OuaguidMohamed Dafir Ech-Cherif El Kettani","2023","http://link.springer.com/article/10.1007/s10922-023-09731-6","Article"
"Achieving fair and accountable data trading for educational multimedia data based on blockchain","Wireless Networks","","","","10.1007/s11276-022-03042-5","Xianxian LiJiahui PengShiqi GaoZhenkui ShiChunpei Li","2022","http://link.springer.com/article/10.1007/s11276-022-03042-5","Article"
"Patient centric pre-transaction signature verification assisted smart contract based blockchain for electronic healthcare records","Journal of Ambient Intelligence and Humanized Computing","","14","4","10.1007/s12652-023-04526-8","A. G. ChandiniP. I. Basarkod","2023","http://link.springer.com/article/10.1007/s12652-023-04526-8","Article"
"A systematic review of the purposes of Blockchain and fog computing integration: classification and open issues","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00353-y","Yehia Ibrahim AlzoubiAsif GillAlok Mishra","2022","http://link.springer.com/article/10.1186/s13677-022-00353-y","Article"
"Malicious uses of blockchains by malware: from the analysis to Smart-Zephyrus","International Journal of Information Security","","","","10.1007/s10207-023-00700-3","Mar Gimenez-AguilarJose Maria de FuentesLorena Gonzalez-Manzano","2023","http://link.springer.com/article/10.1007/s10207-023-00700-3","Article"
"Redefining food safety traceability system through blockchain: findings, challenges and open issues","Multimedia Tools and Applications","","","","10.1007/s11042-022-14006-4","Ashish SinghAdnan GutubAnand NayyarMuhammad Khurram Khan","2022","http://link.springer.com/article/10.1007/s11042-022-14006-4","Article"
"Blockchain and smart contract architecture for notaries services under civil law: a Brazilian experience","International Journal of Information Security","","","","10.1007/s10207-023-00673-3","Leonardo Dias MenezesLuciano Vieira de AraújoMarislei Nishijima","2023","http://link.springer.com/article/10.1007/s10207-023-00673-3","Article"
"The Future of Financial Systems in the Digital Age","Perspectives in Law, Business and Innovation","","","","10.1007/978-981-16-7830-1","Dr. Markus HeckelProf. Dr. Franz Waldenberger","2022","http://link.springer.com/book/10.1007/978-981-16-7830-1","Book"
"Blockchain-based secure and transparent election and vote counting mechanism using secret sharing scheme","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-022-04108-0","Vikas ChouhanAnshul Arora","2022","http://link.springer.com/article/10.1007/s12652-022-04108-0","Article"
"Simorgh, a fully decentralized blockchain-based secure communication system","Journal of Ambient Intelligence and Humanized Computing","","13","8","10.1007/s12652-021-03660-5","Ebad MirzaeiMassoud Hadian Dehkordi","2022","http://link.springer.com/article/10.1007/s12652-021-03660-5","Article"
"Accountable privacy preserving attribute-based access control for cloud services enforced using blockchain","International Journal of Information Security","","21","3","10.1007/s10207-021-00565-4","Amal GhorbelMahmoud GhorbelMohamed Jmaiel","2022","http://link.springer.com/article/10.1007/s10207-021-00565-4","Article"
"RETRACTED ARTICLE: A remix IDE: smart contract-based framework for the healthcare sector by using Blockchain technology","Multimedia Tools and Applications","","81","19","10.1007/s11042-020-10087-1","Rana M. Amir LatifKhalid HussainN. Z. JhanjhiAnand NayyarOsama Rizwan","2022","http://link.springer.com/article/10.1007/s11042-020-10087-1","Article"
"Blockchain and COVID-19 pandemic: applications and challenges","Cluster Computing","","","","10.1007/s10586-023-04009-7","Raja Wasim AhmadKhaled SalahRaja JayaramanIbrar YaqoobSamer EllahhamMohammed Omar","2023","http://link.springer.com/article/10.1007/s10586-023-04009-7","Article"
"A Novel Blockchain and Internet of Things-Based Food Traceability System for Smart Cities","Wireless Personal Communications","","129","3","10.1007/s11277-023-10230-9","Ashish Kumar TripathiK. Akul KrishnanAvinash Chandra Pandey","2023","http://link.springer.com/article/10.1007/s11277-023-10230-9","Article"
"A blockchain-based framework for circular end-of-life vehicle processing","Cluster Computing","","","","10.1007/s10586-023-03981-4","Rima GratiFaiza LoukilKhouloud BoukadiMourad Abed","2023","http://link.springer.com/article/10.1007/s10586-023-03981-4","Article"
"The Ethics of Blockchain in Organizations","Journal of Business Ethics","","178","4","10.1007/s10551-022-05058-5","Monica M. SharifFarshad Ghodoosi","2022","http://link.springer.com/article/10.1007/s10551-022-05058-5","Article"
"Securing federated learning with blockchain: a systematic literature review","Artificial Intelligence Review","","56","5","10.1007/s10462-022-10271-9","Attia QammarAhmad KarimHuansheng NingJianguo Ding","2023","http://link.springer.com/article/10.1007/s10462-022-10271-9","Article"
"Privacy-preserving federated learning for scalable and high data quality computational-intelligence-as-a-service in Society 5.0","Multimedia Tools and Applications","","81","18","10.1007/s11042-022-12900-5","Amirhossein PeyvandiBabak MajidiSoodeh PeyvandiJagdish C. Patra","2022","http://link.springer.com/article/10.1007/s11042-022-12900-5","Article"
"A blockchain and smart contract-based data provenance collection and storing in cloud environment","Wireless Networks","","28","4","10.1007/s11276-022-02924-y","Amrita JyotiR. K. Chauhan","2022","http://link.springer.com/article/10.1007/s11276-022-02924-y","Article"
"Research cooperations of blockchain: toward the view of complexity network","Journal of Ambient Intelligence and Humanized Computing","","13","3","10.1007/s12652-020-02596-6","Yanli WangYilei WangZhaojie WangGuoyu YangXiaomei Yu","2022","http://link.springer.com/article/10.1007/s12652-020-02596-6","Article"
"Blockchain-based access control for dynamic device management in microgrid","Peer-to-Peer Networking and Applications","","15","3","10.1007/s12083-022-01316-5","Kai ZhangJinhu YuChao LinJianting Ning","2022","http://link.springer.com/article/10.1007/s12083-022-01316-5","Article"
"Who is gambling? Finding cryptocurrency gamblers using multi-modal retrieval methods","International Journal of Multimedia Information Retrieval","","11","4","10.1007/s13735-022-00264-3","Zhengjie HuangZhenguang LiuJianhai ChenQinming HeShuang WuLei ZhuMeng Wang","2022","http://link.springer.com/article/10.1007/s13735-022-00264-3","Article"
"A blockchain based secure and privacy aware medical data sharing using smart contract and encryption scheme","Peer-to-Peer Networking and Applications","","16","2","10.1007/s12083-023-01449-1","S. VidhyaV. Kalaivani","2023","http://link.springer.com/article/10.1007/s12083-023-01449-1","Article"
"Medical supply chain integrated with blockchain and IoT to track the logistics of medical products","Multimedia Tools and Applications","","","","10.1007/s11042-023-14846-8","Saroj Kumar NandaSandeep Kumar PandaMadhabananda Dash","2023","http://link.springer.com/article/10.1007/s11042-023-14846-8","Article"
"AWESOME: an auction and witness enhanced SLA model for decentralized cloud marketplaces","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00292-8","Zeshun ShiVeno IvankovicSiamak FarshidiJayachander SurbiryalaHuan ZhouZhiming Zhao","2022","http://link.springer.com/article/10.1186/s13677-022-00292-8","Article"
"Blockchain technology applications in the health domain: a multivocal literature review","The Journal of Supercomputing","","79","3","10.1007/s11227-022-04772-1","Merve Vildan BaysalÖzden Özcan-TopAysu Betin-Can","2023","http://link.springer.com/article/10.1007/s11227-022-04772-1","Article"
"The Intercompany Settlement Blockchain: Benefits, Risks, and Internal IT-Controls","Advanced Digital Auditing","","","","10.1007/978-3-031-11089-4_4","Rewin J. M. Doekhi","2023","http://link.springer.com/chapter/10.1007/978-3-031-11089-4_4","Chapter"
"Tools and Algorithms for the Construction and Analysis of Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-30823-9","Sriram SankaranarayananNatasha Sharygina","2023","http://link.springer.com/book/10.1007/978-3-031-30823-9","Book"
"Blockchain applications in PLM towards smart manufacturing","The International Journal of Advanced Manufacturing Technology","","118","7 - 8","10.1007/s00170-021-07802-z","Shikang ChenXinjiang CaiXingzhi WangAng LiuQinghua LuXiwei XuFei Tao","2022","http://link.springer.com/article/10.1007/s00170-021-07802-z","Article"
"Implementation of blockchain-based e-voting system","Multimedia Tools and Applications","","","","10.1007/s11042-023-15401-1","Sarvesh TanwarNeelam GuptaPrashant KumarYu-Chen Hu","2023","http://link.springer.com/article/10.1007/s11042-023-15401-1","Article"
"A novel blockchain based electronic health record automation system for healthcare","Journal of Ambient Intelligence and Humanized Computing","","13","1","10.1007/s12652-021-03163-3","Usharani ChelladuraiSeethalakshmi Pandian","2022","http://link.springer.com/article/10.1007/s12652-021-03163-3","Article"
"A blockchain-based framework for automatic SLA management in fog computing environments","The Journal of Supercomputing","","78","15","10.1007/s11227-022-04545-w","Sudheer Kumar BattulaSaurabh GargRanesh NahaMuhammad Bilal AminByeong KangErfan Aghasian","2022","http://link.springer.com/article/10.1007/s11227-022-04545-w","Article"
"Effective two-tier tokenization for intelligent transportation supply chain systems using hybrid optimized query expansion","Multimedia Tools and Applications","","","","10.1007/s11042-022-14317-6","G. N. VivekanandaMuhammad Aslam JarwarMustafa Musa JaberChander PrakashDharam BuddhiLydia J. GnanasigamaniIvan Sanz-Prieto","2022","http://link.springer.com/article/10.1007/s11042-022-14317-6","Article"
"Specification and analysis of legal contracts with Symboleo","Software and Systems Modeling","","21","6","10.1007/s10270-022-01053-6","Alireza ParvizimosaedSepehr SharifiDaniel AmyotLuigi LogrippoMarco RoveriAidin RastiAli RoudakJohn Mylopoulos","2022","http://link.springer.com/article/10.1007/s10270-022-01053-6","Article"
"A blockchain-based platform for trading weather derivatives","Digital Finance","","","","10.1007/s42521-022-00071-9","Fernando Alves SilveiraSilvio Parodi de Oliveira Camilo","2023","http://link.springer.com/article/10.1007/s42521-022-00071-9","Article"
"A Review of Blockchain-Based Applications and Challenges","Wireless Personal Communications","","123","2","10.1007/s11277-021-09176-7","Pratima SharmaRajni JindalMalaya Dutta Borah","2022","http://link.springer.com/article/10.1007/s11277-021-09176-7","Article"
"Distributed storage scheme for encryption speech data based on blockchain and IPFS","The Journal of Supercomputing","","79","1","10.1007/s11227-022-04702-1","Qiuyu ZhangZhenyu Zhao","2023","http://link.springer.com/article/10.1007/s11227-022-04702-1","Article"
"Blockchain-based incentive management framework for desktop clouds","Cluster Computing","","26","1","10.1007/s10586-022-03557-8","Abdullah YousafzaiPriyan Malarvizhi KumarChoong Seon Hong","2023","http://link.springer.com/article/10.1007/s10586-022-03557-8","Article"
"BBTCD: blockchain based traceability of counterfeited drugs","Health Services and Outcomes Research Methodology","","","","10.1007/s10742-022-00292-w","Bipin Kumar Rai","2022","http://link.springer.com/article/10.1007/s10742-022-00292-w","Article"
"﻿The transparency challenge of blockchain in organizations","Electronic Markets","","32","3","10.1007/s12525-022-00536-0","Johannes SedlmeirJonathan LautenschlagerGilbert FridgenNils Urbach","2022","http://link.springer.com/article/10.1007/s12525-022-00536-0","Article"
"Kickstarting blockchain: designing blockchain-based tokens for equity crowdfunding","Electronic Commerce Research","","","","10.1007/s10660-022-09634-9","Tobias GuggenbergerBenjamin SchellingerVictor von WachterNils Urbach","2023","http://link.springer.com/article/10.1007/s10660-022-09634-9","Article"
"Decentralized finance research and developments around the world","Journal of Banking and Financial Technology","","6","2","10.1007/s42786-022-00044-x","Peterson K. Ozili","2022","http://link.springer.com/article/10.1007/s42786-022-00044-x","Article"
"Blockchain Technology and International Data Spaces","Designing Data Spaces","","","","10.1007/978-3-030-93975-5_10","Wolfgang PrinzThomas RoseNils Urbach","2022","http://link.springer.com/chapter/10.1007/978-3-030-93975-5_10","Chapter"
"Secure data sharing with blockchain for remote health monitoring applications: a review","Journal of Reliable Intelligent Environments","","","","10.1007/s40860-023-00204-w","Venkatesh UpadristaSajid NazirHuaglory Tianfield","2023","http://link.springer.com/article/10.1007/s40860-023-00204-w","Article"
"Blockchained education: challenging the long-standing model of academic institutions","International Journal on Interactive Design and Manufacturing (IJIDeM)","","16","2","10.1007/s12008-022-00886-1","Azael CapetilloDaniel CamachoMacedonio Alanis","2022","http://link.springer.com/article/10.1007/s12008-022-00886-1","Article"
"Blockchain-based multi-skill mobile crowdsourcing services","EURASIP Journal on Wireless Communications and Networking","","2022","1","10.1186/s13638-022-02135-1","Weize XuHongyue DuanXiao ChenJie HuangDeyong LiuYichao Chen","2022","http://link.springer.com/article/10.1186/s13638-022-02135-1","Article"
"Introduction to Advanced Information Technology","Advanced Digital Auditing","","","","10.1007/978-3-031-11089-4_3","Bert-Jan Butijn","2023","http://link.springer.com/chapter/10.1007/978-3-031-11089-4_3","Chapter"
"TVS: a trusted verification scheme for office documents based on blockchain","Complex & Intelligent Systems","","","","10.1007/s40747-021-00617-1","Xue ZhaiShanchen PangMin WangSibo QiaoZhihan Lv","2022","http://link.springer.com/article/10.1007/s40747-021-00617-1","Article"
"Data governance through a multi-DLT architecture in view of the GDPR","Cluster Computing","","25","6","10.1007/s10586-022-03691-3","Mirko ZichichiStefano FerrettiGabriele D’AngeloVíctor Rodríguez-Doncel","2022","http://link.springer.com/article/10.1007/s10586-022-03691-3","Article"
"SynergyGrids: blockchain-supported distributed microgrid energy trading","Peer-to-Peer Networking and Applications","","15","2","10.1007/s12083-021-01199-y","Moayad AloqailyOuns BouachirÖznur ÖzkasapFaizan Safdar Ali","2022","http://link.springer.com/article/10.1007/s12083-021-01199-y","Article"
"Finding the Right Balance: Technical and Political Decentralization in the Token Economy","Blockchains and the Token Economy","","","","10.1007/978-3-030-95108-5_3","Michelle PfisterNiclas KannengießerAli Sunyaev","2022","http://link.springer.com/chapter/10.1007/978-3-030-95108-5_3","Chapter"
"Mathematical modeling and performance evaluation of BeRAN for 6G wireless networks","The Journal of Supercomputing","","","","10.1007/s11227-023-05321-0","Vuppula RoopaHimansu Shekhar Pradhan","2023","http://link.springer.com/article/10.1007/s11227-023-05321-0","Article"
"StuChain: an efficient blockchain-based student e-portfolio platform integrating hybrid access control approach","Multimedia Tools and Applications","","","","10.1007/s11042-023-15560-1","Gang ZhaoHui HeBingbing DiJie Chu","2023","http://link.springer.com/article/10.1007/s11042-023-15560-1","Article"
