Year,Title,Date,Source
2021,empirical evaluation of smart contract testing: what is the best choice?,,Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis
2022,detecting vulnerabilities in ethereum smart contracts with deep learning,23 Dec 2022,2022 4th International Conference on Data Intelligence and Security (ICDIS)
2022,an ethereum based fake product identification system using smart contract,8 Jun 2022,2022 6th International Conference on Intelligent Computing and Control Systems (ICICCS)
2022,ethergis: a vulnerability detection framework for ethereum smart contracts based on graph learning features,10 Aug 2022,2022 IEEE 46th Annual Computers Software and Applications Conference (COMPSAC)
2022,solchecker: a practical static analysis framework for ethereum smart contract,19 Sep 2022,2022 International Conference on Networks Communications and Information Technology (CNCIT)
2022,analysis between different types of smart contract fuzzing,18 Jul 2022,2022 3rd International Conference on Computer Vision Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)
2022,systematic review of security vulnerabilities in ethereum blockchain smart contract,20 Jan 2022,IEEE Access
2022,eosioanalyzer: an effective static analysis vulnerability detection framework for eosio smart contracts,10 Aug 2022,2022 IEEE 46th Annual Computers Software and Applications Conference (COMPSAC)
2022,data breach analysis for financial smart contracts,25 Mar 2022,2022 2nd International Conference on Innovative Research in Applied Science Engineering and Technology (IRASET)
2022,sailfish: vetting smart contract state-inconsistency bugs in seconds,27 Jul 2022,2022 IEEE Symposium on Security and Privacy (SP)
2022,security vulnerabilities and countermeasures of smart contracts: a survey,19 Sep 2022,2022 IEEE International Conference on Blockchain (Blockchain)
2022,scuc-dsac: a data sharing access control model based on smart contract and user credit,26 Jul 2022,2022 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W)
2022,methodology interaction by machine learning model to detect vulnerability in smart contract of blockchain,18 Jan 2023,2022 RIVF International Conference on Computing and Communication Technologies (RIVF)
2022,esbmc-solidity: an smt-based model checker for solidity smart contracts,,Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings
2022,scsguard: deep scam detection for ethereum smart contracts,20 Jun 2022,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)
2022,making smart contract classification easier and more effective,4 Oct 2022,2022 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)
2022,technical usability assessment of security analysis tools for ethereum based smart contracts,30 Mar 2023,2022 IEEE 22nd International Conference on Software Quality Reliability and Security Companion (QRS-C)
2022,smart contract vulnerability detection based on abstract syntax tree,14 Dec 2022,2022 8th International Symposium on System Security Safety and Reliability (ISSSR)
2022,supply chain inventory sharing using ethereum blockchain and smart contracts,7 Jan 2022,IEEE Access
2022,elipmoc: advanced decompilation of ethereum smart contracts,,Proc. ACM Program. Lang.
2022,the swc-based security analysis tool for smart contract vulnerability detection,21 Mar 2023,2022 6th International Conference on Information Technology (InCIT)
2022,smartmixmodel: machine learning-based vulnerability detection of solidity smart contracts,19 Sep 2022,2022 IEEE International Conference on Blockchain (Blockchain)
2022,a smart contract vulnerability detection model based on graph neural networks,27 Mar 2023,2022 4th International Conference on Frontiers Technology of Information and Computer (ICFTIC)
2022,model checking of vulnerabilities in smart contracts: a solidity-to-cpn approach,,Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing
2022,multi-transaction sequence vulnerability detection for smart contracts based on inter-path data dependency,20 Mar 2023,2022 IEEE 22nd International Conference on Software Quality Reliability and Security (QRS)
2022,ethereum smart contract analysis tools: a systematic review,7 Jun 2022,IEEE Access
2022,vrust: automated vulnerability detection for solana smart contracts,,Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security
2022,characterizing and detecting gas-inefficient patterns in smart contracts,,Journal of Computer Science and Technology
2022,a cids mode ddos blacklist mechanism based on smart contract in savi-enable ipv6 network,27 Mar 2023,2022 IEEE 22nd International Conference on Communication Technology (ICCT)
2022,declarative smart contracts,,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering
2022,security analysis of smart contracts in blockchain networks,25 Oct 2022,2022 Ural-Siberian Conference on Biomedical Engineering Radioelectronics and Information Technology (USBEREIT)
2022,an empirical study on the effects of entry function pairs in fuzzing smart contracts,10 Aug 2022,2022 IEEE 46th Annual Computers Software and Applications Conference (COMPSAC)
2022,towards automated safety vetting of smart contracts in decentralized applications,,Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security
2022,self-supervised learning of smart contract representations,,Proceedings of the 30th IEEE/ACM International Conference on Program Comprehension
2022,park: accelerating smart contract vulnerability detection via parallel-fork symbolic execution,,Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis
2022,reentrancy vulnerability detection of smart contract based on bidirectional sequential neural network with hierarchical attention mechanism,11 Aug 2022,2022 International Conference on Blockchain Technology and Information Security (ICBCTIS)
2022,finding permission bugs in smart contracts with role mining,,Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis
2022,analysis of the relationship between smart contracts' categories and vulnerabilities,21 Jul 2022,2022 IEEE International Conference on Software Analysis Evolution and Reengineering (SANER)
2022,an improved vulnerability detection system of smart contracts based on symbolic execution,26 Jan 2023,2022 IEEE International Conference on Big Data (Big Data)
2022,security evaluation of smart contracts based on code and transaction - a survey,24 Aug 2022,2022 International Conference on Service Science (ICSS)
2022,smart contract development for peer-to-peer energy trading,21 Jul 2022,2022 IEEE 7th International Energy Conference (ENERGYCON)
2022,automated auditing of price gouging tod vulnerabilities in smart contracts,29 Jun 2022,2022 IEEE International Conference on Blockchain and Cryptocurrency (ICBC)
2022,data integrity verification scheme based on blockchain smart contract,20 Mar 2023,2022 IEEE International Conference on Trust Security and Privacy in Computing and Communications (TrustCom)
2022,tokenauditor: detecting manipulation risk in token smart contract by fuzzing,20 Mar 2023,2022 IEEE 22nd International Conference on Software Quality Reliability and Security (QRS)
2022,smart contract - security assessment integrated framework (sc-sif) for hyperledger fabric,18 Jul 2022,2022 IEEE 7th International conference for Convergence in Technology (I2CT)
2022,a bilstm-attention model for detecting smart contract defects more accurately,20 Mar 2023,2022 IEEE 22nd International Conference on Software Quality Reliability and Security (QRS)
2022,mando-guru: vulnerability detection for smart contract source code by heterogeneous graph embeddings,,Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering
2022,a study of inline assembly in solidity smart contracts,,Proc. ACM Program. Lang.
2022,vulnerable smart contract detection by means of model checking,,Proceedings of the Fourth ACM International Symposium on Blockchain and Secure Critical Infrastructure
